score,hypers
0.0785882449353296,{'max_depth': 2, 'min_child_weight': 10, 'gamma': 5.282456478074254, 'learning_rate': 0.5527435807992671, 'n_estimators': 50, 'eta': 0.3212646730860247, 'max_delta_step': 9, 'subsample': 0.16123827930796497, 'colsample_bytree': 0.1, 'reg_alpha': 6.071913898398548, 'reg_lambda': 10.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.043804610132532326,{'max_depth': 2, 'min_child_weight': 1, 'gamma': 8.211480412467791, 'learning_rate': 0.08127880805237207, 'n_estimators': 50, 'eta': 1.0, 'max_delta_step': 2, 'subsample': 0.5169649230651852, 'colsample_bytree': 1.0, 'reg_alpha': 0.45972168044162126, 'reg_lambda': 1.4904351534164408, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
1.9607139257553334,{'max_depth': 12, 'min_child_weight': 1, 'gamma': 2.6430839646409914, 'learning_rate': 0.0015925731108115356, 'n_estimators': 135, 'eta': 0.4022710832593168, 'max_delta_step': 1, 'subsample': 0.1, 'colsample_bytree': 1.0, 'reg_alpha': 2.350886246295768, 'reg_lambda': 4.248488489085557, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.04441719471185107,{'max_depth': 16, 'min_child_weight': 20, 'gamma': 10.0, 'learning_rate': 0.25026001445671686, 'n_estimators': 50, 'eta': 0.6897484645099752, 'max_delta_step': 4, 'subsample': 0.5689069380428274, 'colsample_bytree': 0.1, 'reg_alpha': 0.0, 'reg_lambda': 9.675104890477277, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.11066580921251226,{'max_depth': 2, 'min_child_weight': 1, 'gamma': 9.8198745570204, 'learning_rate': 0.08863696132050448, 'n_estimators': 250, 'eta': 0.1, 'max_delta_step': 0, 'subsample': 0.21074737344218086, 'colsample_bytree': 1.0, 'reg_alpha': 10.0, 'reg_lambda': 3.8498781022327555, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.0824478571729621,{'max_depth': 2, 'min_child_weight': 7, 'gamma': 6.172579124615622, 'learning_rate': 0.7054358332335829, 'n_estimators': 362, 'eta': 1.0, 'max_delta_step': 10, 'subsample': 0.2229292269978282, 'colsample_bytree': 0.1, 'reg_alpha': 10.0, 'reg_lambda': 10.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.04385053563777644,{'max_depth': 15, 'min_child_weight': 20, 'gamma': 10.0, 'learning_rate': 0.3422813621860861, 'n_estimators': 50, 'eta': 0.7410983343929743, 'max_delta_step': 0, 'subsample': 1.0, 'colsample_bytree': 0.1, 'reg_alpha': 3.678206789599251, 'reg_lambda': 2.901173978190888, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.04386391965165937,{'max_depth': 17, 'min_child_weight': 4, 'gamma': 2.2161771057633284, 'learning_rate': 0.10830724618534035, 'n_estimators': 500, 'eta': 1.0, 'max_delta_step': 2, 'subsample': 1.0, 'colsample_bytree': 0.7515553513244917, 'reg_alpha': 3.8476295983190365, 'reg_lambda': 1.6981714007233242, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.048156861321354126,{'max_depth': 2, 'min_child_weight': 2, 'gamma': 0.0, 'learning_rate': 0.035121297025327215, 'n_estimators': 500, 'eta': 1.0, 'max_delta_step': 2, 'subsample': 0.5423424574594046, 'colsample_bytree': 0.7902692672324038, 'reg_alpha': 5.122594641585656, 'reg_lambda': 2.037061487628476, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.044209201628961935,{'max_depth': 20, 'min_child_weight': 1, 'gamma': 10.0, 'learning_rate': 0.06994379656557947, 'n_estimators': 282, 'eta': 0.6027297074519872, 'max_delta_step': 1, 'subsample': 0.3381091430378876, 'colsample_bytree': 0.10365469097755935, 'reg_alpha': 0.7719537343140559, 'reg_lambda': 7.741508801503574, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
