ID,PLGA,PP-L,PP-COOH,PP-NH2,S/AS,Uptake,Uptake_stdev,PDI,PDI_stdev,Z_ave,Z_ave_stdev,cycle,cycle_type,cycle_origin,pick_for_next_cycle,Uptake_pred,Uptake_pred_stdev,Uptake_pred_5,Uptake_pred_95,PDI_pred,Z_ave_pred
screen_20306,0,0.38,0.28,0.34,0.25,11.54,0.64,0.112,0.023,103.8,0.4041,2,Exploitation,2,no,10.71208795,1.160408457,8.83172226,12.6674188,0.134390781,110.0546646
screen_62254,0.07,0.17,0.19,0.57,0.25,14.02,0.26,0.123,0.016,112.5,0.3,2,Exploitation,2,no,10.09525108,1.146980166,8.136210124,11.93650786,0.124345218,108.4939931
screen_82381,0,0.44,0.29,0.28,0.25,12.17,0.81,0.117,0.024,104,1.422,2,Exploitation,2,no,9.983523051,1.168460886,8.036683242,11.92525037,0.118481326,111.4888738
screen_39525,0,0.46,0.06,0.48,0.2,9.78,0.26,0.099,0.013,93.52,0.9279,1,Exploration,1,yes,3.4460988,0.8990502,2.035755,4.877085,0.102255076,90.93545
screen_65935,0,0.07,0.06,0.87,0.2,11.31,0.31,0.099,0.01,109.6,0.4163,1,Exploration,1,yes,3.3283474,0.9404916,1.8668365,4.8950496,0.1679169,108.71953
screen_37609,0,0.24,0.06,0.7,0.15,9.63,0.21,0.115,0.041,101.9,1.097,1,Exploration,1,yes,3.3149724,0.914512,1.8466154,4.873468,0.057802588,98.47164
screen_95443,0,0.83,0.07,0.1,0.2,5.72,0.3,0.117,0.021,87.87,0.9051,1,Exploration,1,yes,2.4509745,0.95109385,0.8821177,4.134969,0.112956546,85.726906
screen_9364,0,0.3,0.16,0.55,0.2,10.49,0.17,0.127,0.011,105,1.607,1,Exploration,1,yes,3.3886125,0.9610458,1.8438828,5.03221,0.107068084,93.86092
screen_39930,0,0.08,0.21,0.71,0.2,11.59,0.33,0.135,0.015,120.3,1.217,1,Exploration,1,yes,3.1941383,0.91933435,1.6582617,4.612396,0.1469534,114.415855
screen_51944,0,0.62,0.06,0.32,0.2,5.93,0.33,0.108,0.007,89.42,0.7111,1,Exploration,1,yes,3.2222798,0.98860216,1.6385972,4.877733,0.159255,128.30927
screen_72795,0,0.67,0.17,0.16,0.2,14.4,0.6,0.121,0.007,96.39,0.695,1,Exploration,1,yes,2.6827667,0.9114365,1.1916494,4.0467196,0.08369692,109.92867
screen_24111,0,0.13,0.37,0.5,0.2,10.89,0.75,0.108,0.003,119.1,1.114,1,Exploration,1,yes,3.033578,0.9118161,1.5563729,4.4340596,0.07542796,110.835266
screen_56633,0,0.44,0.24,0.32,0.2,7.44,0.23,0.13,0.013,105.6,1.778,1,Exploration,1,yes,3.1469297,0.90940326,1.6974434,4.685618,0.13937283,130.3005
screen_20306,0,0.38,0.28,0.34,0.25,11.54,0.64,0.112,0.023,103.8,0.4041,2,Exploitation,2,yes,9.249043,1.02066,7.550405,10.974314,0.13355741,132.75143
screen_72872,0,0.33,0.22,0.45,0.1,8.6,0.37,0.113,0.014,97.38,0.8146,2,Exploitation,2,yes,9.143657,1.0236261,7.453423,10.81744,0.079747126,87.05287
screen_62254,0.07,0.17,0.19,0.57,0.25,14.02,0.26,0.123,0.016,112.5,0.3,2,Exploitation,2,yes,9.770606,1.0099658,8.153844,11.430221,0.13355741,99.66716
screen_52734,0,0.25,0.3,0.45,0.2,13.91,0.34,0.11,0.004,107,0.2,2,Exploitation,2,yes,9.116074,1.0101594,7.4379535,10.749878,0.13355741,125.58299
